run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
turboquant,46,3,3,1,4,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,turboquant,short,1331,39306,266,9,6,stop,False,935.283,103.92033333333333,9.622755893136087,39603.539,148.885484962406,6.716571465999541,40637,"0.1,0.1,0.1","6559.2,6006.6,6241.5","5000.6,4426.4,155189.8",N/A
vanilla,46,1,1,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,16671,143734,1024,148,3,length,True,16258.354,109.85374324324324,9.103012518979474,144027.769,140.6521181640625,7.10974006686169,160405,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28845.2,25593.6,25590.0,25686.8,25630.3,25593.3,26526.1","30816.4,19772.5,19791.8,19584.5,19793.4,19758.0,625307.3",N/A
vanilla,46,1,2,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,2753,140516,1024,23,3,length,True,2251.755,97.90239130434783,10.214255103241692,140797.421,137.4974814453125,7.272860487977262,143269,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28226.7,22597.7,22589.6,22700.2,22635.2,22630.7,24076.5","26404.2,17322.3,17339.5,17160.2,17336.8,17291.6,625401.1",N/A
vanilla,46,1,3,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,2756,140216,1024,23,3,length,True,2256.56,98.11130434782608,10.19250540645939,140503.267,137.2102216796875,7.288086760288642,142972,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28305.0,22645.5,22637.8,22793.6,22702.7,22694.2,23626.0","26422.0,17272.0,17253.1,17335.1,17369.2,17328.1,625352.2",N/A
vanilla,46,2,1,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,16720,143865,1024,148,3,length,True,16209.464,109.5234054054054,9.130468471998828,144165.78,140.78689453125,7.102933858506505,160585,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28805.1,25545.3,25540.8,25650.5,25523.4,25556.9,26488.3","30839.6,19731.3,19780.8,19585.8,19586.7,19683.2,625233.9",N/A
vanilla,46,2,2,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,2772,95170,711,23,3,stop,False,2255.628,98.07078260869567,10.196716834513492,95462.268,134.26479324894515,7.447968866610209,97942,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","19095.6,15377.4,15391.9,15441.1,15372.3,15394.3,16067.5","16985.9,11935.2,12027.1,11884.3,11913.5,12030.6,434195.1",N/A
vanilla,46,2,3,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,2733,140473,1024,23,3,length,True,2259.653,98.24578260869565,10.178553963816569,140763.823,137.4646708984375,7.274596399672947,143207,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28278.7,22653.8,22602.7,22752.7,22655.6,22607.5,23615.9","26325.5,17310.7,17205.4,17257.3,17280.2,17145.0,625335.9",N/A
vanilla,46,3,1,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,16704,143620,1024,148,3,length,True,16203.459,109.48283108108109,9.133852222540877,143912.127,140.5391865234375,7.1154531681683775,160324,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28695.0,25458.2,25427.6,25589.0,25463.6,25478.9,26444.9","30835.6,19771.8,19686.9,19691.4,19714.8,19749.6,625352.1",N/A
vanilla,46,3,2,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,2799,140261,1024,23,3,length,True,2254.4,98.01739130434783,10.202271114265436,140547.577,137.2534931640625,7.285789067711925,143061,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","28320.1,22641.3,22601.3,22556.7,22687.2,22662.2,23630.4","26418.0,17329.9,17169.2,17196.1,17332.9,17263.4,625310.7",N/A
vanilla,46,3,3,1,8,Qwen3-8B-DeepSeek-v3.2-Speciale-Distill.q4_k_m,vanilla,long,2766,140017,1024,23,3,length,True,2252.002,97.9131304347826,10.213134801834101,140304.057,137.0156806640625,7.298434713117383,142783,"0.1,0.1,0.1,0.1,0.1,0.1,0.1","27977.2,22354.0,22529.6,22483.8,22506.4,22402.6,23494.6","26391.9,17247.5,17284.4,17299.7,17174.6,17283.1,625251.0",N/A
