run_group,t,trial,prompt_id,concurrency,n,model,engine,prompt_length,ttft_ms,client_decode_ms,tokens_predicted,tokens_evaluated,tokens_cached,stop_type,truncated,prompt_ms,prompt_per_token_ms,prompt_per_second,predicted_ms,predicted_per_token_ms,predicted_per_second,wall_ms,nodes_cpu_pct,nodes_net_rx_kb,nodes_net_tx_kb,peak_memory_mb
turboquant,46,1,2,1,1,granite-4.1-8b-q4_k_m,turboquant,long,10049,140894,1019,34,9,stop,False,10025.44,294.8658823529412,3.391372348744793,140895.024,138.2679332679097,7.23233490488635,150944,3.6,28.8,0.0,5765.6
turboquant,46,1,3,1,1,granite-4.1-8b-q4_k_m,turboquant,long,10681,98398,775,34,9,stop,False,10656.677,313.43167647058823,3.1904879917069833,98399.275,126.9668064516129,7.876074290181508,109080,3.7,48.9,0.0,5765.6
turboquant,46,1,1,2,1,granite-4.1-8b-q4_k_m,turboquant,long,26928,171422,701,160,9,stop,False,13322.597,83.26623125,12.00967048691783,171423.693,244.54164479315264,4.089283037438705,198351,0.5,29.0,1.4,5823.9
turboquant,46,1,1,2,1,granite-4.1-8b-q4_k_m,turboquant,long,13606,194512,759,160,9,stop,False,13584.8,84.905,11.777869383428538,194513.14,256.27554677206854,3.902050010605967,208118,0.5,29.0,1.4,5823.9
turboquant,46,1,2,2,1,granite-4.1-8b-q4_k_m,turboquant,long,12484,219549,910,34,9,stop,False,12453.907,366.2913823529411,2.7300669581039916,219550.372,241.26414505494506,4.144834698799781,232034,0.6,81.4,1.6,5823.9
turboquant,46,1,2,2,1,granite-4.1-8b-q4_k_m,turboquant,long,12485,229752,967,34,9,stop,False,12453.784,366.28776470588235,2.7300939216546554,229753.585,237.59419338159253,4.208857067453376,242237,0.6,81.4,1.6,5823.9
turboquant,46,1,3,2,1,granite-4.1-8b-q4_k_m,turboquant,long,12423,176354,775,34,9,stop,False,12392.235,364.4775,2.743653586298194,176355.41,227.5553677419355,4.394534877041765,188778,0.6,92.9,1.4,5823.9
turboquant,46,1,3,2,1,granite-4.1-8b-q4_k_m,turboquant,long,12423,191269,864,34,9,stop,False,12392.166,364.4754705882353,2.743668863054288,191270.701,221.37812615740742,4.517158119266787,203693,0.6,99.2,1.5,5823.9
turboquant,46,1,1,4,1,granite-4.1-8b-q4_k_m,turboquant,long,44140,300925,722,160,9,stop,False,30630.201,191.43875625,5.223602678937693,300925.785,416.79471606648195,2.3992626620546993,345065,0.5,102.3,1.9,6020.8
turboquant,46,1,1,4,1,granite-4.1-8b-q4_k_m,turboquant,long,13510,354403,769,160,9,stop,False,13484.843,84.28026875,11.86517336538512,354404.325,460.8638816644994,2.1698380797130508,367913,0.5,102.3,1.9,6020.8
turboquant,46,1,1,4,1,granite-4.1-8b-q4_k_m,turboquant,long,44140,329118,783,160,9,stop,False,30630.988,191.443675,5.223468469250811,329120.762,420.3330293742018,2.3790659551280453,373259,0.5,102.3,1.9,6020.8
turboquant,46,1,1,4,1,granite-4.1-8b-q4_k_m,turboquant,long,44140,348057,888,160,9,stop,False,30629.796,191.43622499999998,5.223671747601584,348058.532,391.95780630630634,2.5512950218384534,392197,0.5,102.3,1.9,6020.8
